text,label_name
How long does it take for the transfer to go through?,transfer_not_received_by_recipient
Why was I charged an extra fee when using the card?,card_payment_fee_charged
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",balance_not_updated_after_cheque_or_cash_deposit
Why is my card payment still listed as pending? Please help me.,pending_card_payment
how do i begin the process of a refund?,request_refund
"i want to activate my card, how do i do it?",activate_my_card
Why am I being deduction a fee when using an ATM?,cash_withdrawal_charge
"I do not like this, I made a simple transfer but I have an additional charge for doing so.",transfer_fee_charged
What is the amount of time transfers usually take from the UK? I had just completed a transfer and nothing seems to be showing up so I need to be sure things are alright.,balance_not_updated_after_bank_transfer
Can you please explain to me why there is an extra €1 fee in my statement? Please advise.,extra_charge_on_statement
What is the extra fee on my statement?,extra_charge_on_statement
"Hello, I have an issue: i have a fee showing from last time I used my card.",card_payment_fee_charged
I believe my debit card has been compromised as there are funds showing that I did not receive.,cash_withdrawal_not_recognised
is there a longer processing time for international bank transfers?,balance_not_updated_after_bank_transfer
I'm contacting support because i have my card here with me and someone has just made a withdrawal for 500. Please help!,cash_withdrawal_not_recognised
How long does it take for a bank transfer to post,balance_not_updated_after_bank_transfer
"Can you assist me? my card has been pending for a while, what should I do?",pending_card_payment
I had to pay one pound more than the set price!,extra_charge_on_statement
The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my my account,declined_cash_withdrawal
Can you assist me? is it normal to see a fee for transferring money?,transfer_fee_charged
I attempted to get money in cash but it was refused!,declined_cash_withdrawal
Why did a transaction I made charge me $1?,extra_charge_on_statement
I am writing to report that what does it mean when a payment is pending?,pending_card_payment
It looks like my card payment might have been reverted. I need this resolved urgently.,reverted_card_payment?
I transferred money and it hasn't come yet,transfer_not_received_by_recipient
yikes! i didn't get the amount of money that i requested. what do i do now?,wrong_amount_of_cash_received
How do I activate my new card I just got?,activate_my_card
"I have been double charged for a couple of things this week, and would appreciate a refund for the duplicate charges.",transaction_charged_twice
What do I do if a transaction shows up twice?,transaction_charged_twice
I've changed my mind on an item. How do I get a refund?,request_refund
What reasons would cause my debit card payment to be cancelled?,reverted_card_payment?
"My card payment reverted back, I think. I'd appreciate your help.",reverted_card_payment?
The cash withdrawal I took seems to be off. The exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal
How do I get a refund for an item I bought? What should I do?,request_refund
The atm wouldn't give out cash,declined_cash_withdrawal
My balance doesn't include my latest transfer Please help me.,balance_not_updated_after_bank_transfer
My card payment has been pending for a long time now. Why is it taking so long to take. It should have already made it through.,pending_card_payment
"There has been an unusual withdrawal from my account, can you help? Can you fix this issue?",cash_withdrawal_not_recognised
What is the extra fee that showed up on my card?,card_payment_fee_charged
I am writing to report that please help me figure out the reason for the odd withdrawal amount from my account?,cash_withdrawal_not_recognised
I was using a foreign currecy to make a payment and the applied the wrong rate.,card_payment_wrong_exchange_rate
Card activation is not working. What do i do?,activate_my_card
It looks like a payment I've made hasn't made it through yet. I need this resolved urgently.,pending_card_payment
i might have been charged on my debit statement by fraud.,direct_debit_payment_not_recognised
Can I get a refund? Can you fix this issue?,request_refund
What is this fee showing up in my account for?,card_payment_fee_charged
There are some card payments that I haven't done myself. What is going on with my card and does somebody else have access to my card?,card_payment_not_recognised
I need help because i think the currency exchange that's been applied is wrong.,card_payment_wrong_exchange_rate
"My bank app said that I got cash from an ATM, but that's a mistake.",cash_withdrawal_not_recognised
"I got double charged from something, what can I do?",transaction_charged_twice
i want a refund for an item,request_refund
I need to inform you that why is the purchase I made this morning still pending?,pending_card_payment
I am writing to report that my purchase used the wrong exchange rate,card_payment_wrong_exchange_rate
I need help because is there a way you can have money from a purchase I made refunded to my account.,request_refund
"Hello, I have an issue: i am using the app, and I see cash withdrawals that I did not authorize.",cash_withdrawal_not_recognised
I need a refund for something I bought. I need this resolved urgently.,request_refund
Why hasn't my refund been appiled to my account?,Refund_not_showing_up
Why is my purchase showing as pending?,pending_card_payment
the exchange rate for my payment last saturday must be wrong because i was charged extra.,card_payment_wrong_exchange_rate
I'm being charged for using my card!,card_payment_fee_charged
"I need help because i am tired of getting charged fees, and I have no idea why, please let me know what/when you charge fees for.",card_payment_fee_charged
Can you assist me? what do I do if there is an electronic debit that is not correct?,direct_debit_payment_not_recognised
I need this item refunded What should I do?,request_refund
I don't know if I made this payment on my card.,card_payment_not_recognised
where did my extra fee for the transfer come from?,transfer_fee_charged
am i charged more for using the atm?,cash_withdrawal_charge
"Hello, I have an issue: i just got my new card, how do I activate it?",activate_my_card
